created:2024-05-31 10:34:30 UTC
ephemeris_start:2024-05-31 09:15:42 UTC ephemeris_stop:2024-06-03 09:15:42 UTC step_size:60
ephemeris_source:blend
UVW
1.2903536028e-11 8.6064190065e-11 1.2747764876e-10 1.6445383468e-09 2.3222809425e-13 5.0568034509e-13 1.8644995093e-12
2024152092842.000 -3318.8168508616 -5501.1462837925 1735.4419804397 5.7103698067 -1.9019466049 4.8707156399
4.1717491750e-06 -3.3061552590e-06 7.4671022636e-06 4.2066995626e-08 5.5055416269e-08 4.2723939155e-06 8.3948373125e-09
-7.1081183128e-09 1.0414253776e-10 1.8196784588e-11 -5.9745250540e-10 6.9663127223e-09 1.8325472231e-10 2.2787268589e-13
1.5250238322e-11 1.2049619464e-10 1.6616850181e-10 1.4104096833e-09 3.1094191980e-13 6.1114500725e-13 1.6513700530e-12
2024152092942.000 -2968.3896035974 -5601.7714453527 2023.2072711214 5.9657927581 -1.4508659594 4.7175541690
4.7815778037e-06 -3.5235032357e-06 8.8698309147e-06 6.2507157494e-08 7.5180681860e-08 4.4263199052e-06 9.7599755610e-09
-7.7160103199e-09 1.4910135398e-10 2.1320909064e-11 -5.9530559327e-11 8.3263140803e-09 2.3475278993e-10 1.3740451953e-12
1.7669537513e-11 1.6456348502e-10 2.0999092031e-10 1.1511443533e-09 4.0683709462e-13 7.2069441753e-13 1.4791552713e-12
2024152093042.000 -2603.5032591737 -5675.1092406869 2301.0875664743 6.1921435734 -0.9927386520 4.5413508176
5.5472051984e-06 -3.6822733377e-06 1.0469798609e-05 9.0548988605e-08 9.9731255636e-08 4.5478823158e-06 1.1445328057e-08
-8.2845277642e-09 2.0820965030e-10 2.5116710927e-11 6.5301929511e-10 9.7989758677e-09 2.9308262650e-10 2.7886241928e-12
2.0097038575e-11 2.1955376698e-10 2.5796034123e-10 8.7185157508e-10 5.2127725057e-13 8.3096725294e-13 1.3514433870e-12
2024152093142.000 -2225.9359935969 -5720.8039495561 2567.7258068605 6.3883186525 -0.5298053515 4.3429728901
6.5214932877e-06 -3.7677855542e-06 1.2269665834e-05 1.2813246353e-07 1.2872793633e-07 4.6350048592e-06 1.3540820260e-08
-8.8051688496e-09 2.8444246285e-10 2.9739938691e-11 1.5501800994e-09 1.1355389733e-08 3.5731176436e-10 4.4714593870e-12
2.2465084432e-11 2.8657012922e-10 3.0866268382e-10 5.7801872902e-10 6.5525251769e-13 9.3828079305e-13 1.2709342137e-12
2024152093242.000 -1837.5276780409 -5738.6349874112 2821.8202604678 6.5533651208 -0.0643274650 4.1233956628
7.7711404316e-06 -3.7688912811e-06 1.4266385238e-05 1.7743645424e-07 1.6188387317e-07 4.6862871095e-06 1.6157089437e-08
-9.2769712180e-09 3.8107061824e-10 3.5377894277e-11 2.6330611798e-09 1.2960076619e-08 4.2604347443e-10 6.4084536543e-12
2.4706350500e-11 3.6643800763e-10 3.6027976192e-10 2.7540225557e-10 8.0928161174e-13 1.0387971644e-12 1.2393920347e-12
2024152093342.000 -1440.1708560050 -5728.5178170223 3062.1307900546 6.6864823448 0.4014221470 3.8836969492
9.3786817116e-06 -3.6805765087e-06 1.6451181080e-05 2.4085226237e-07 1.9853734907e-07 4.7010299402e-06 1.9428578121e-08
-9.7101779906e-09 5.0163307686e-10 4.2254498731e-11 3.8914893970e-09 1.4572752092e-08 4.9741491392e-10 8.5687228527e-12
2.6757714935e-11 4.5961152174e-10 4.1064104696e-10 -3.0086117711e-11 9.8331510228e-13 1.1286971743e-12 1.2576170476e-12
2024152093442.000 -1035.8013386918 -5690.5043397358 3287.4849491215 6.7870278273 0.8651716336 3.6250539187
